epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,27478.9,1.55265,1.68409,1.37466,0.6815,0.53918,0.59997,0.33655,1.49004,1.9918,1.32307,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,27889.4,1.56478,1.67723,1.37958,0.6855,0.53724,0.59975,0.33709,1.49034,1.98828,1.32339,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,28307.4,1.55945,1.66914,1.36738,0.67847,0.54077,0.60012,0.33837,1.49065,1.98549,1.32299,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,28723.2,1.53709,1.62622,1.35439,0.67921,0.53945,0.59976,0.33756,1.49077,1.98447,1.32322,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,29134.5,1.54761,1.62654,1.35778,0.68023,0.54434,0.60119,0.33809,1.49337,1.98584,1.32509,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,29546.3,1.54568,1.64725,1.35579,0.68046,0.54312,0.60208,0.33829,1.49495,1.98584,1.32623,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,29962.1,1.54299,1.62862,1.35609,0.68116,0.54617,0.60351,0.3395,1.49465,1.98677,1.32504,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,30374.3,1.53537,1.61332,1.36321,0.67638,0.55094,0.60542,0.34071,1.49406,1.98141,1.32563,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,30786.7,1.53697,1.62924,1.349,0.67457,0.55168,0.60557,0.34042,1.49383,1.97764,1.32631,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,31200.4,1.52669,1.6158,1.34005,0.67142,0.55291,0.60645,0.34073,1.49519,1.97499,1.32702,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,31612.8,1.51152,1.58955,1.33047,0.66992,0.55229,0.60734,0.34145,1.49468,1.97597,1.32641,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,32024,1.49617,1.58937,1.3343,0.67174,0.55474,0.60752,0.34164,1.49434,1.97444,1.32686,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,32437.1,1.50829,1.5815,1.3252,0.66945,0.55657,0.60832,0.34243,1.49312,1.97201,1.32706,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,32850.5,1.49666,1.56207,1.32358,0.66554,0.55841,0.60859,0.34254,1.49441,1.96975,1.32872,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,33285.3,1.43662,1.4721,1.30134,0.65767,0.56167,0.60687,0.343,1.49444,1.96797,1.32854,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,33688.3,1.41648,1.43575,1.29233,0.65982,0.56269,0.60743,0.34402,1.49472,1.96592,1.32918,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,34093.9,1.41919,1.41117,1.29797,0.66111,0.56269,0.60791,0.3444,1.49351,1.96276,1.32912,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,34496,1.40403,1.41838,1.28287,0.65995,0.56453,0.60852,0.34471,1.49467,1.96205,1.32966,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,34900.7,1.38095,1.36849,1.27606,0.66002,0.5633,0.60898,0.34551,1.4954,1.95783,1.33056,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,35302.2,1.37221,1.36916,1.2591,0.65861,0.56514,0.60908,0.3454,1.49595,1.95452,1.33079,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,35708.8,1.39331,1.36643,1.28504,0.65999,0.56511,0.60944,0.34566,1.4955,1.95439,1.33103,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,36111.4,1.38704,1.37693,1.2773,0.66046,0.56511,0.60906,0.34607,1.4949,1.95209,1.33065,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,36516.1,1.385,1.37654,1.27112,0.65732,0.56758,0.60944,0.34606,1.49466,1.9511,1.33088,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,36916.9,1.36745,1.34452,1.25698,0.6582,0.56534,0.60863,0.34613,1.49561,1.94983,1.33019,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
