epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,22755.1,1.73018,1.99111,1.4679,0.63374,0.47339,0.51851,0.27607,1.55847,2.18638,1.33145,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,23209.5,1.75911,2.04627,1.47962,0.60606,0.48742,0.51842,0.27545,1.55116,2.1825,1.32791,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,23668.2,1.73268,2.00948,1.46149,0.61864,0.49419,0.52703,0.28238,1.54751,2.16979,1.32546,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,24124.1,1.74145,1.99408,1.46883,0.63508,0.49052,0.52909,0.28285,1.55619,2.14806,1.32504,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,24578.5,1.72931,1.97531,1.45915,0.61918,0.5022,0.53235,0.28262,1.54529,2.15633,1.32264,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,25005.6,1.73863,2.01024,1.46604,0.6427,0.49178,0.53781,0.28403,1.54223,2.15162,1.32478,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,25344.6,1.71611,1.95132,1.4568,0.64108,0.49602,0.5394,0.28519,1.53518,2.15545,1.32221,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,25688.3,1.70692,1.96802,1.44963,0.63059,0.49664,0.54128,0.28834,1.51157,2.14193,1.31131,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,26028.3,1.70251,1.98108,1.4477,0.62705,0.50031,0.53785,0.28758,1.50817,2.1427,1.30954,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,26368.2,1.69652,1.95241,1.44404,0.61014,0.50031,0.53191,0.28508,1.50976,2.14217,1.30929,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,26713,1.7021,1.97692,1.43824,0.61956,0.49902,0.53764,0.2879,1.50762,2.135,1.30546,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,27056.4,1.69931,1.94068,1.43421,0.61412,0.49351,0.53749,0.28997,1.51038,2.12596,1.30284,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,27398.9,1.68473,1.95928,1.42664,0.59874,0.50031,0.53942,0.2916,1.51095,2.12343,1.30058,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,27743.1,1.69248,1.92553,1.43529,0.62511,0.49664,0.53982,0.29135,1.51702,2.1282,1.30286,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,28086.4,1.66368,1.89016,1.41937,0.62082,0.50887,0.54374,0.29375,1.52376,2.13548,1.30621,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,28428.7,1.6812,1.89876,1.42379,0.61091,0.50703,0.54209,0.29424,1.52456,2.13122,1.30634,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,28769.8,1.67673,1.90725,1.4273,0.61611,0.50398,0.54408,0.29745,1.52092,2.11685,1.30524,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,29113.4,1.67099,1.89319,1.41336,0.62806,0.50398,0.54702,0.29888,1.51984,2.11674,1.30466,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,29454.8,1.6704,1.88036,1.41881,0.62675,0.51254,0.55372,0.3,1.51472,2.11155,1.30259,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,29796.9,1.65127,1.89113,1.41512,0.61904,0.51804,0.55691,0.3024,1.51306,2.10875,1.303,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,30141.8,1.6526,1.85118,1.40459,0.6106,0.52939,0.55762,0.30367,1.51348,2.1001,1.30289,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,30483.2,1.62123,1.83649,1.39293,0.62791,0.52355,0.55949,0.30467,1.51624,2.09833,1.30386,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,30835.7,1.64737,1.85304,1.403,0.61845,0.52661,0.56006,0.30492,1.51504,2.10326,1.30306,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,31176,1.63696,1.84278,1.39304,0.63224,0.51988,0.56072,0.30657,1.51559,2.10407,1.3017,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,31519.5,1.62254,1.79125,1.38196,0.6392,0.5211,0.56167,0.30582,1.51698,2.10459,1.30158,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,31881.5,1.62196,1.80327,1.39583,0.65023,0.51279,0.56188,0.30687,1.51734,2.10542,1.30165,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,32224.2,1.64727,1.81375,1.39911,0.64941,0.51096,0.56352,0.30843,1.5141,2.10467,1.29995,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,32567.5,1.62715,1.80621,1.38033,0.64026,0.51498,0.56241,0.30834,1.512,2.10223,1.29861,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32910.3,1.6105,1.78532,1.37668,0.63642,0.52353,0.56332,0.30833,1.50953,2.10412,1.29736,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,33252.5,1.61775,1.78983,1.38655,0.63763,0.5211,0.56458,0.30823,1.50763,2.10317,1.29599,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,33594.6,1.62123,1.78001,1.38081,0.63768,0.51993,0.56494,0.30945,1.50586,2.10068,1.2946,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33941.6,1.59449,1.7504,1.36613,0.63176,0.52171,0.56544,0.3101,1.50457,2.09907,1.29402,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
